RXN-13195	EC-2.1.1.256
RXN0-6988	EC-3.4.13.18
RXN-16634	EC-2.4.1.184
RXN-14273	EC-4.2.1.17
4.1.1.74-RXN	EC-4.1.1.74
RXN-19397	EC-2.7.1.183
RXN-17111	EC-1.3.1.93
FRUCTOSE-5-DEHYDROGENASE-RXN	EC-1.1.99.11
RXN-7864	EC-2.3.1.45
RXN-19911	EC-3.1.1.106
RXN-11825	EC-1.1.1.15
2-MEBUCOA-FAD-RXN	EC-1.3.99.12
RXN66-23	EC-1.1.1.170
RXN-8437	
RXN-14730	EC-4.3.1.29
RXN-12335	EC-4.2.1.127
AMINOGLYCOSIDE-N3-ACETYLTRANSFERASE-RXN	EC-2.3.1.81
TETRAHYDROXYPTERIDINE-CYCLOISOMERASE-RXN	EC-5.5.1.3
RXN-17580	EC-1.14.13.69
RXN-15161	EC-2.7.1.205
L-GLYCOL-DEHYDROGENASE-RXN	EC-1.1.1.185
RXN-20402	EC-2.3.1.M71
RXN-18068	EC-4.2.1.M11
PHENOL-BETA-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.35
RXN-8881	
RXN-20887	
RXN-12865	EC-1.8.1
TRANS-RXN0-451	
RXN-9385	EC-2.7.7.M12
RXN-15622	EC-2.5.1
RXN-13337	EC-4.2.3.130
2.7.1.90-RXN	EC-2.7.1.90
RXN-18491	
RXN-16116	EC-1.14.14.129
RXN-10040	EC-1.14.13.127
RXN-21362	EC-1.14.13.ey
RXN-18941	
RXN-10883	
RXN-9910	EC-1.2.1.28
RXN-5781	EC-2.7.8.2
RXN-13818	EC-2.4.1
3.4.13.18-RXN	EC-3.4.13.18
RXN0-6952	EC-3.1.1.32
RXN-16591	EC-2.3.1
RXN-14255	
4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN	EC-1.13.11.27
RXN-19381	
RXN-17095	EC-3.1.1.99
RXN-11340	EC-1.14.14
FORMATE-KINASE-RXN	EC-2.7.2.6
RXN-7832	EC-2.4.1.116
RXN-19888	EC-1.3.8.15
RXN-11802	EC-2.5.1.95
2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN	EC-3.1.3.63
RXN66-168	EC-2.4.1.17
RXN-8421	EC-4.2.3
RXN-14713	EC-1.14.13.235
RXN-12313	EC-1.3.8
ALTRO-OXIDOREDUCT-RXN	EC-1.1.1.58
TAUROPINE-DEHYDROGENASE-RXN	EC-1.5.1.23
RXN-17563	EC-2.3.1
RXN-15140	
KIEVITONE-HYDRATASE-RXN	EC-4.2.1.95
RXN-20386	EC-2.3.1.199
RXN-18050	EC-2.3.1.M32
PEPTIDE-TRYPTOPHAN-23-DIOXYGENASE-RXN	EC-1.13.11.26
RXN-8852	EC-3.1.3.85
RXN-20869	EC-2.5.1
RXN-12847	EC-5.4.99.55
TRANS-RXN0-279	
RXN-9364	EC-2.5.1
RXN-15602	
RXN-13315	EC-2.4.1
2.7.1.148-RXN	EC-2.7.1.148
RXN-18475	EC-2.1.1.339
RXN-16098	EC-2.3.1
RXN-10011	EC-3.1.3
RXN-21345	EC-3.5.1.74
RXN-18924	EC-3.2.1.113
RXN-10862	
RXN-9894	
RXN-5472	EC-2.4.1.256
RXN-13799	EC-2.4.1
3.4.11.10-RXN	EC-3.4.11.10
RXN0-6720	
RXN-16570	EC-2.4.1.335
RXN-14238	EC-2.4.1
3PGAREARR-RXN	EC-5.4.2.12
RXN-19358	EC-2.4.1.17
RXN-17077	EC-1.10.3.4
RXN-11318	EC-3.5.1.106
FGAMSYN-RXN	EC-6.3.5.3
RXN-7809	EC-1.14.99.M4
RXN-19854	EC-2.7.99
RXN-11786	
12-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN	EC-1.1.1.238
RXN66-14	EC-1.3.1.70
RXN-8402	
RXN-14696	EC-1.14.99.48
ALLANTOIN-RACEMASE-RXN	EC-5.1.99.3
SULFOCYS-RXN	EC-2.5.1.144
RXN-11118	
RXN-17542	
RXN-20692	
RXN-15122	
RXN-14548	
KDO-8PSYNTH-RXN	EC-2.5.1.55
RXN0-4701	
RXN-20370	EC-2.3.1.M71
RXN-18862	
RXN-18032	
ENTG-RXN	
RXN-12295	EC-1.3.1
NARINGENIN-CHALCONE-SYNTHASE-RXN	EC-2.3.1.74
PANTOATE-4-DEHYDROGENASE-RXN	EC-1.1.1.106
2.4.1.39-RXN	EC-2.4.1.39
RXN-8833	EC-1.7.1.16
RXN-8735	EC-1.14.14
RXN-20798	EC-2.1.1
RXN-20702	EC-4.4.1.m
RXN-12831	EC-4.2.3.96
TRANS-RXN0-244	
RXN-15030	
RXN-12722	EC-4.2.1.131
RXN-9347	
TRANS-RXN-357	
RXN-15584	
RXN-9210	EC-2.3.1
2.6.1.64-RXN	EC-2.6.1.64
RXN-15462	
RXN-18449	EC-2.5.1.137
RXN-18351	
RXN-16082	EC-2.3.1
R346-RXN	EC-3.5.1.90
RIBULP3EPIM-RXN	EC-5.1.3.1
RXN-21226	EC-2.3.1.7
RXN-21328	EC-2.4.1
RXN-18814	EC-1.1.1.306
RXN-18908	EC-3.2.1.207
RXN-13189	EC-1.14.14.107
RXN-13301	EC-1.1.1.330
RXN-10721	EC-2.6.1.7
RXN-10839	EC-2.1.1.326
RXN-9758	EC-1.2.1.3
RXN-9877	EC-1.14.12.26
RXN-4736	EC-2.4.1
RXN-5423	EC-1.13.99
RXN-15975	EC-1.14.15
RXN-13779	EC-1.1.1.370
RXN-13669	EC-1.14.14.30
3.2.1.96-RXN	EC-3.2.1.96
3.2.1.129-RXN	EC-3.2.1.129
RXN0-6541	EC-2.7.1
RXN0-5225	EC-3.5.1.28
RXN-16550	EC-1.2.1.84
RXN-16452	
RXN-14216	
RXN-19228	EC-2.4.1
3.6.4.1-RXN	EC-5.6.1.8
RXN-11181	EC-1.3.3.11
RXN-19333	
DIHYDROFOLATESYNTH-RXN	EC-6.3.2.12
RXN-17057	EC-1.14.14
RXN-7647	EC-5.5.1.6
RXN-11292	
RXN-19723	EC-1.14.18.11
FAD-PYROPHOSPHATASE-RXN	EC-3.6.1.18
RXN-14116	EC-1.2.1.88
RXN-7785	EC-1.14.20
RXN-11661	EC-1.10.3
RXN-19827	EC-2.5.1
3.4.24.73-RXN	EC-3.4.24.73
RXN-11768	EC-4.1.3.41
1.2.1.56-RXN	EC-1.1.1.280
1.8.3.5-RXN	EC-1.8.3.5
RXN1G-4	EC-2.3.1.189
RXN4FS-22	EC-1.14.14
RXN-8269	EC-1.12.98.4
RXN-8369	EC-1.14.99.35
RXN-16950	EC-1.14.13.24
RXN-14680	EC-1.14.14
RXN-14576	EC-1.3.3.6
ALDOSE1EPIM-RXN	EC-5.1.3.3
ACETYLPYRUVATE-HYDROLASE-RXN	EC-3.7.1.6
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.24
S-ADENMETSYN-RXN	EC-2.5.1.6
RXN-17526	
RXN-17430	EC-2.1.1.331
RXN-15105	EC-2.3.1.240
HISTPRATPHYD-RXN	EC-3.6.1.31
ISOFLAVONE-7-O-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.170
RXN-20214	EC-2.8.2.15
RXN-20353	EC-1.14.14.fr
RXN-12165	EC-1.2.1
RXN-18010	EC-3.1.1.103
NADH-DEHYDROGENASE-QUINONE-RXN	EC-1.6.5.9
RXN-12267	EC-1.3.1
2.4.1.230-RXN	EC-2.4.1.230
OXALATE-DECARBOXYLASE-RXN	EC-4.1.1.2
RXN-8716	EC-2.3.1
RXN-8815	EC-1.7.1.16
RXN-20684	EC-1.1.99.13
RXN-20776	EC-2.3.1.M84
RXN-15013	
RXN-12806	EC-2.3.1.197
TRANS-RXN0-206	
RXN-12703	EC-1.3.99
CHONDROITIN-6-SULFOTRANSFERASE-RXN	EC-2.8.2.17
RXN-9317	
TRANS-RXN-341	
RXN-15559	EC-2.3.2.26
RXN-9194	EC-3.1.1
2.6.1.30-RXN	EC-2.6.1.30
RXN-17881	
RXN-18431	
RXN-15440	
RXN-16065	EC-1.14.19.3
RXN-18328	EC-1.8.1
RIBOFLAVIN-PHOSPHOTRANSFERASE-RXN	EC-2.7.1.42
R303-RXN	EC-1
RXN-21312	EC-1.8.2.e
RXN-2121	EC-1.1.1
RXN-18890	EC-4.2.3.185
RXN-13170	EC-1.13.11
RXN-13283	
RXN-10699	EC-2.3.1.16
RXN-10823	
RXN-9742	EC-1.7.99
RXN-9859	EC-1.3.1.119
RXN-4705	
RXN-5185	EC-3.5.1.130
RXN-15959	EC-2.5.1
RXN-13760	EC-2.7.7.83
RXN-13646	EC-3.2.1
3.2.1.75-RXN	EC-3.2.1.75
3.2.1.100-RXN	EC-3.2.1.100
RXN0-6382	EC-3.6.1.66	EC-3.6.1.9
RXN0-5199	EC-2.4.2.15	EC-2.4.2.1
RXN-16533	
3.6.3.30-RXN	EC-7.2.2.7
RXN-18790	EC-4.2.3.163
RXN-16431	EC-5.1.3.36
RXN-19312	EC-3.1.1.5
RXN-19212	
RXN-17041	EC-2.3.1
RXN-11163	
RXN-11271	
DICARBOXYLATE--COA-LIGASE-RXN	EC-6.2.1.23
ERYTHRON4PDEHYDROG-RXN	EC-1.1.1.290
RXN-7621	EC-1.14.14
RXN-7763	EC-2.7.4
RXN-19705	EC-2.4.1.367
RXN-19811	EC-2.7.2.b
RXN-14099	EC-2.7.1.74
RXN-14201	EC-3.6.1.5
RXN-11642	
RXN-11749	EC-3.1.2.29
3.4.24.59-RXN	EC-3.4.24.59
1.5.99.12-RXN	EC-1.5.99.12
1.17.99.3-RXN	EC-1.17.99.3
RXN3O-9783	EC-2.4.1
RXN1F-99	EC-1.14.11
RXN-8352	EC-1.14.19.41
RXN-8248	EC-1.14.14
RXN-14659	EC-2.1.1
RXN-16927	EC-1.14.19
ALBENDAZOLE-MONOOXYGENASE-RXN	EC-1.14.13.32
RXN-14553	
STREPTOMYCIN-3-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.47
ACETOLACTSYN-RXN	EC-2.2.1.6
RXN-17510	EC-1.2.3.15
RXN-15085	EC-2.7.1.207
RXNQT-4356	
RXN-17412	EC-1.1.1.392
INOSINE-NUCLEOSIDASE-RXN	EC-3.2.2.2
HEMN-RXN	EC-1.3.98.3
RXN-20337	EC-1.1.1.330
RXN-20185	EC-1.14.11.ak
RXN-17980	EC-1.14.13.233
RXN-12148	EC-1.1.1.313
RXN-12251	
N-BENZYLOXYCARBONYLGLYCINE-HYDROLASE-RXN	EC-3.5.1.58
ORNCARBAMTRANSFER-RXN	EC-2.1.3.3
2.4.1.212-RXN	EC-2.4.1.212
RXN-8796	
RXN-87	EC-2.3.1.95
RXN-20756	
RXN-20668	EC-1.1.1.201
RXN-12785	EC-6.2.1
TRANS-RXN-90	
RXN-14996	EC-3.1.4.57
RXN-12683	EC-1.14.14
RXN-9297	EC-2.7.1.162
CHOLESTANETRIOL-26-MONOOXYGENASE-RXN	
RXN-15541	
TRANS-RXN-318	
2.5.1.45-RXN	EC-2.5.1.45
RXN-9178	
RXN-18414	
RXN-17857	EC-2.3.1.256
RXN-16048	EC-1.14.19.42
RXN-15423	EC-4.1.1
RAUCAFFRICINE-BETA-GLUCOSIDASE-RXN	EC-3.2.1.125
WATASEMIA-LUCIFERIN-2-MONOOXYGENASE-RXN	EC-1.13.12.8
RXN-21296	EC-2.10.1.M1
RXN-18307	EC-2.4.1.149
RXN-18872	
R233-RXN	
RXN-13253	EC-2.3.1.203
RXN-21189	EC-1.3.3.e
RXN-10792	EC-3.4.24.58
RXN-13152	EC-1.14.13
RXN-9842	
RXN-10679	
RXN-5121	EC-4.2.3.105
RXN-9721	EC-2.4.1.184
RXN-13733	EC-3.5.1.23
RXN-4522	EC-1.14.19.62
3.2.1.55-RXN	EC-3.2.1.55
RXN-15940	EC-2.3.1
RXN0-5507	EC-4.1.2.50
RXN-13630	
RXN-16514	
3.1.4.47-RXN	EC-4.6.1.14
3.6.1.41-RXN	EC-3.6.1.41
RXN0-5129	
RXN-19295	EC-2.4.2.21
RXN-18768	EC-5.4.4.8
RXN-17009	EC-2.3.1.51
RXN-16410	EC-1.1.99
RXN-11255	
RXN-19193	EC-6.2.1.2
DUTP-PYROP-RXN	EC-3.6.1.23	EC-3.6.1.9
RXN-11139	
RXN-7741	EC-1.3.7.12
DGTPTRIPHYDRO-RXN	EC-3.1.5.1
RXN-19791	EC-3.2.1
RXN-7596	EC-2.1.1.158
RXN-14182	EC-2.4.1
RXN-14078	
RXN-11731	EC-4.1.2.47
RXN-11614	EC-6.3.2
1.5.1.15-RXN	EC-1.5.1.15
3.4.24.43-RXN	EC-3.4.24.43
RXN3O-347	EC-2.7.4
1.14.21.2-RXN	EC-1.14.19.65
RXN-8328	EC-1.14.19.22
RXN1F-167	EC-1.14.11
RXN-14641	EC-1.1.1.359
RXN-8223	
AGMATINE-DEIMINASE-RXN	EC-3.5.3.12
RXN-16895	
SPONTPRO-RXN	
RXN-14534	
RXN-17489	EC-3.1.3.62
ACECOATRANS-RXN	EC-2.8.3.8
IMIDAZOLE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.2
RXNQT-4337	EC-1.14.13.237
RXN-20301	EC-3.5.99
RXN-19692	EC-1.14.19
RXN-17963	EC-2.3.1.280
RXN-17394	
RXN-12234	EC-2.6.1
GUANYLCYC-RXN	EC-4.6.1.2
O-SUCCINYLBENZOATE-COA-SYN-RXN	EC-4.2.1.113
RXN-20167	EC-1.14.19
RXN-8780	
RXN-12126	EC-2.4.1.173
RXN-20739	EC-3.1.1.2
MYO-INOSOSE-2-DEHYDRATASE-RXN	EC-4.2.1.44
RXN-15072	EC-1.1.1
2.4.1.191-RXN	EC-2.4.1.191
RXN-12763	EC-1.14.13.135
TRANS-RXN-42	
RXN-8680	
RXN-14976	
RXN-9279	EC-1.14.13
RXN-12662	EC-1.14.20
RXN-15524	EC-1.14.99
CHD-RXN	EC-1.1.99.1
2.4.99.2-RXN	EC-2.4.99.2
TRANS-RXN-294	
RXN-18395	EC-2.5.1.140
RXN-9162	EC-3.2.1
R6-RXN	EC-3.7.1
RXN-17837	EC-2.5.1.38
RXN-21279	
RXN-15403	EC-2.1.1.307
RXN-18849	EC-6.2.1.52
URONOLACTONASE-RXN	EC-3.1.1.19
RXN-13232	EC-2.4.2
RXN-18290	EC-2.4.99.9
RXN-10772	
R215-RXN	EC-4.1.3
RXN-9825	EC-2.1.1.278
RXN-21170	
RXN-5064	
RXN-13134	EC-1.13.11
RXN-16032	EC-2.3.1.51
RXN-13713	EC-1.14.15.15
RXN-1065	EC-3.3.2
RXN-9692	
3.2.1.3-RXN	EC-3.2.1.3
RXN0-5388	EC-1.6.5
RXN-4441	EC-2.4.1.231
RXN-15922	EC-1.14.13
RXN-16496	EC-2.6.1
RXN-13607	EC-2.4.1.17
3.5.2.17-RXN	EC-3.5.2.17
3.1.31.1-RXN	EC-3.1.31.1
RXN-19279	EC-3.1.1.79
RXN0-5101	EC-1.3.1
RXN-16992	
RXN-11236	EC-1.7.5.1
RXN-18751	EC-5.3.3.8
RXN-16393	EC-6.2.1.3
DOLICHOL-KINASE-RXN	EC-2.7.1.108
RXN-19177	EC-5.5.1
RXN-7699	EC-4.2.1.119
RXN-11113	
RXN-19775	EC-1.11.1
DEOXYADENPHOSPHOR-RXN	EC-2.4.2.1
RXN-14164	EC-2.1.1
RXN-7571	EC-2.6.1.58
RXN-11714	EC-2.5.1.94
RXN-14056	
1.3.3.12-RXN	EC-1.3.3.12
RXN-11571	EC-3.1.6.18
RXN3DJ-35528	EC-2.3.1.87
3.4.24.28-RXN	EC-3.4.24.28
RXN-8311	EC-1.14.19.35
1.14.13.77-RXN	EC-1.14.14.106
RXN-14625	
RXN1F-101	EC-1.14.11
ADENPHOSPHOR-RXN	EC-2.4.2.1
RXN-8202	EC-2.8.1.3
SINAPINE-ESTERASE-RXN	EC-3.1.1.49
RXN-16871	
RXN-17467	EC-2.5.1.bl
RXN-14512	EC-3.1.3
HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN	EC-1.1.1.88
ABC-33-RXN	EC-7.5.2.13	EC-7.5.2.10
RXN-20259	EC-2.1.1
RXNQT-4321	EC-4.4.1.13
RXN-17944	EC-1.10.3.2
RXN-19676	EC-1.14.14.78
RXN-12217	EC-3.1.3
RXN-17376	EC-1.1.1
NQOR-RXN	EC-1.6.5.2
GST-RXN	EC-2.5.1.18
2.4.1.92-RXN	EC-2.4.1.92
RXN-20143	EC-1.17.99.8
RXN-8763	EC-3.7.1.12
RXN-12101	EC-5.4.99.50
RXN-20723	EC-1.14.14.ft
MORPHINE-6-DEHYDROGENASE-RXN	EC-1.1.1.218
RXN-15054	EC-2.4.1
2.4.1.157-RXN	EC-2.4.1.337
RXN-12747	EC-1.1.1.145
TRANS-RXN-379	
RXN-8654	
RXN-14946	EC-4.2.1.152
RXN-9235	EC-2.1.1.201
RXN-12642	EC-1.1.1.102
RXN-15495	EC-1.14.13
CELLOBIOSE-DEHYDROGENASE-ACCEPTOR-RXN	EC-1.1.99.18
RXN-18376	EC-1.14.13.239
TRANS-RXN-274	
R502-RXN	EC-1.5.3
RXN-9145	EC-2.7.1.214
RXN-21253	EC-2.1.1
RXN-17805	EC-1.8.99.5
RXN-18834	EC-2.3.1.M46
RXN-15384	EC-1.14.14
RXN-13211	EC-1.1.3
URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9
RXN-10749	EC-2.3.1.188
RXN-20639	
RXN-9800	EC-2.3.1.65
RXN-18271	EC-2.4.1.92
RXN-4861	EC-5.5.1.12
R165-RXN	EC-1.1.1.154
RXN-16013	
RXN-21154	
RXN-13694	EC-3.2.1.149
RXN-13112	EC-2.3.1.198
3.2.1.156-RXN	EC-3.2.1.156
RXN-10632	EC-4.2.3.43
RXN0-5295	EC-3.2.1.M25
RXN-9647	EC-2.3.1
RXN-16480	EC-1.13.11.81
RXN-15901	EC-5.4.1.4
3.5.1.80-RXN	EC-3.5.1.25
RXN-13587	EC-1.1.1.334
RXN-19262	EC-1.14.20.9
3.1.3.46-RXN	EC-3.1.3.46
RXN-11211	EC-3.5.2.2
RXN0-4841	EC-5.1.3.41
DIMETHYLMALATE-DEHYDROGENASE-RXN	EC-1.1.1.84
RXN-18732	EC-2.4.1.360
RXN-7677	
RXN-16366	EC-2.3
RXN-19755	
RXN-4311	
RXN-14146	EC-4.1.2
RXN-19159	
RXN-11689	EC-1.1.1.310
RXN-11097	
1.3.1.25-RXN	EC-1.3.1.25
DCDPKIN-RXN	EC-2.7.4.6
RXN1UA-50	EC-1.3.1.113
RXN-7483	
RXN-8295	EC-1.14.19.35
RXN-14031	
RXN-16974	EC-1.14.13
RXN-11553	EC-3.2.1.166
RXN-14605	EC-3.2.1.193
3.4.24.12-RXN	EC-3.4.24.12
ACYLCOASYN-RXN	EC-6.2.1
1.14.13.59-RXN	EC-1.14.13.59
SELENOCYSTEINE-LYASE-RXN	EC-4.4.1.16
RXN18C3-8	
RXN-17450	EC-4.2.1.169
RXN-8181	
HYDROXY-MANDELATE-RACEMASE-RXN	EC-5.1.2.2
RXN-16853	EC-1.14.15.27
RXN-20237	EC-2.1.1.353
RXN-14492	EC-2.3.1.199
RXN-17916	EC-2.7.7
ABC-13-RXN	EC-7.4.2.1
RXN-12195	EC-3.6.1.15
RXNQT-4192	EC-1.2.1
NICOTINATE-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.196
RXN-19660	EC-1.14.14.162
2.4.1.46-RXN	EC-2.4.1.46
RXN-17352	EC-1.11.1.7
RXN-8740	EC-1.13.11.66
GLYOXYLATE-DEHYDROGENASE-ACYLATING-RXN	EC-1.2.1.17
RXN-20707	
RXN-20127	
RXN-15035	EC-3.1.1.5
RXN-12079	EC-1.1.1
RXN-12730	EC-2.1.1.14
TRANS-RXN-362	
METHYLMALONYL-COA-DECARBOXYLASE-RXN	EC-4.1.1.94
2.4.1.129-RXN	EC-2.4.1.129
RXN-9218	
RXN-8631	EC-4.1.2.13
RXN-15467	EC-1.1.1
RXN-14929	EC-2.5.1.116
RXN-18356	
RXN-12612	EC-3.5.1
R365-RXN	EC-4.3.3
CARNRACE-RXN	EC-5.1.2.M1
RXN-21232	EC-1.10.3.2
TRANS-RXN-245	
RXN-18819	
RXN-13194	EC-1.14.13.106
RXN-91	EC-2.4.1
RXN-10729	
RXN-17787	EC-2.3.1.16
RXN-15368	EC-1.13.12
RXN-9763	EC-1.8.2.4
UDPACYLGLCNACDEACETYL-RXN	EC-3.5.1.108
RXN-4764	
RXN-20623	
RXN-15982	
RXN-18254	EC-2.4.1.152
RXN-13675	EC-3.4.19.13
R122-RXN	EC-3.5.4.43
3.2.1.135-RXN	EC-3.2.1.135
RXN-21122	
RXN0-5234	EC-4.1.2
RXN-13095	
RXN-16457	EC-2.10.1.M1
RXN-10617	EC-2.4.1.17
RXN-19234	EC-2.1.1
RXN-9626	EC-3.1.2.2
RXN-11186	EC-1.14.13.113
RXN-15851	EC-1.1.3.47
DIHYDROPYRIMIDINASE-RXN	EC-3.5.2.2
RXN-13554	
RXN-7654	EC-1.14.14
3.1.26.2-RXN	EC-3.1.26.2
RXN-19732	EC-3.4.19.13
RXN0-4141	EC-1.12.99.6
RXN-14122	EC-2.7.4.13
RXN-18713	EC-1.14.13
RXN-11666	
RXN-16322	EC-1.13.12.16
3.5.1.26-RXN	EC-3.5.1.26
RXN-4241	EC-1.14.14
1.2.1.67-RXN	EC-1.2.1.67
RXN1G-474	EC-7.5.2
RXN-19139	EC-2.4.1.M32
RXN-11077	EC-2.4.1.288
RXN-8277	EC-2.4.1
D-TRYPTOPHAN-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.34
RXN-16955	EC-1.2.1.7
RXN-7305	EC-3.1.3.62
RXN-14583	
ACH3-RXN	
RXN-14014	EC-1.17.1.8
RXN-11537	EC-1.14.14
S-METHYLMALONYL-COA-HYDROLASE-RXN	EC-3.1.2.17
3.4.23.30-RXN	EC-3.4.23.30
RXN-17435	EC-4.2.1.169
1.14.13.101-RXN	EC-1.14.13.101
HOMOCYSMETB12-RXN	EC-2.1.1.13
RXN18C3-47	EC-2.3.1
RXN-20219	EC-2.3.1.26
RXN-16832	EC-4.1.1.60
RXN-12173	EC-4.2.2.23
RXN-14471	
NADPH-DEHYDROGENASE-FLAVIN-RXN	EC-1.5.1.30
6.3.2.30-RXN	EC-6.3.2.30
2.4.1.24-RXN	EC-2.4.1.24
RXNQT-4164	EC-4.2.1.170
RXN-8721	EC-2.3.1
RXN-19636	EC-1.14.14.159
RXN-20691	
RXN-17335	EC-1.14.13.222
RXN-15018	EC-3.5.1
GLYCOLATE-REDUCTASE-RXN	EC-1.1.1.26
RXN-12708	EC-4.2.1
TRANS-RXN-347	
RXN-8166	EC-1.5.1.1
RXN-20107	
RXN-9199	
RXN-12059	EC-3.1.4.37
RXN-17887	
METHIONINE-S-METHYLTRANSFERASE-RXN	EC-2.1.1.12
RXN-15445	EC-1.14.14
2.3.2.1-RXN	EC-2.3.2.1
RXN-18333	EC-2.3.3
RXN-8612	EC-1.13.11.56
R310-RXN	EC-4.2.1.84
RXN-14908	EC-3.13.1
RXN-21215	
RXN-12593	EC-4.2.3.103
RXN-13176	EC-2.4.1.285
CARBOXYLESTERASE-RXN	EC-3.1.1.1
RXN-10704	EC-4.2.1
TRANS-RXN-230	
RXN-9747	
RXN-17770	EC-2.7.1.215
RXN-4725	EC-2.4.1
RXN-15352	EC-2.3.1
RXN-15964	EC-2.5.1
TYROSINE-DECARBOXYLASE-RXN	EC-4.1.1.25
RXN-13657	EC-2.1.1
RXN-20606	
3.2.1.107-RXN	EC-3.2.1.107
RXN0-5205	EC-7.2.2.12
RXN-18238	EC-2.4.1.69
QUESTIN-MONOOXYGENASE-RXN	EC-1.14.13.43
RXN-16438	EC-1.14.13
RXN-21088	EC-2.7.7.68
RXN-19217	
RXN-13075	EC-2.4.1.282
RXN-11168	
RXN-10602	EC-4.2.3
DIFRUCTOSE-ANHYDRIDE-SYNTHASE-RXN	EC-3.2.1.134
RXN-9609	
RXN-7629	EC-1.14.14
RXN-15821	EC-4.1.1
RXN-19710	EC-3.1.3.106
RXN-13533	
RXN-14104	EC-4.1.2
3.1.2.25-RXN	EC-3.1.2.25
RXN-11648	EC-2.1.1
RXN0-361	EC-3.2.2.3
3.4.24.63-RXN	EC-3.4.24.63
RXN-18692	EC-2.3.2
1.2.1.27-RXN	EC-1.2.1.27
RXN-16298	EC-1.3.1.aa
RXN1G-1152	EC-2.3.1
RXN-4161	EC-5.3.3.5
RXN-8254	EC-2.3.1.185
RXN-19119	EC-1.14.19.M18
RXN-16934	EC-3.4.11
RXN-1106	EC-1.2.1.44
RXN-14560	EC-2.4.1.306
D-GLUTAMATE-OXIDASE-RXN	EC-1.4.3.15	EC-1.4.3.7
ACETYL-COA-CARBOXYLASE-PHOSPHATASE-RXN	EC-3.1.3.44
RXN-7244	
RXNQT-4361	EC-2.5.1
RXN-13989	EC-6.3.2.40
RXN-17419	EC-4.2.1.M3
RXN-11520	
HEXOKINASE-RXN	EC-2.7.1.1
3.4.23.16-RXN	EC-3.4.23.16
RXN-20193	EC-1.3.1.121
1.14.11.18-RXN	EC-1.14.11.18
RXN-12153	EC-4.3.2
RXN18C3-31	EC-2.3.1
N-METHYL-2-OXOGLUTARAMATE-HYDROLASE-RXN	EC-3.5.1.36
RXN-16815	EC-1.1.3
2.4.1.218-RXN	EC-2.4.1.218
RXN-14453	EC-2.1.1.277
RXN-8704	EC-1
6-PHOSPHO-BETA-GALACTOSIDASE-RXN	EC-3.2.1.85
RXN-20673	
RXN8J2-2	EC-3.5.1.M15
RXN-15001	
RXN-19611	EC-2.5.1.18
RXN-12690	EC-1.3.99.4
RXN-17318	EC-2.3.1.288
CHOLINE-KINASE-RXN	EC-2.7.1.32
TRANS-RXN-323	
GLYCEROL-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.372	EC-1.1.1.72
RXN-8138	EC-2.3.1
RXN-9183	
RXN-20087	EC-2.1.1.M50
RXN-17870	EC-2.3.1.258
RXN-12042	EC-6.3.2.37
RXN-15429	EC-4.2.3.146
MERCAPYSTRANS-RXN	EC-2.8.1.2
XANTHOMMATIN-REDUCTASE-RXN	EC-1.3.1.41
2.3.1.63-RXN	EC-2.3.1.63
RXN-18312	EC-2.4.99.6
RXN-8592	EC-4.2.3.126
R246-RXN	
RXN-14885	
RXN-21195	EC-6.2.2.a
RXN-12568	EC-1.2.1
RXN-13159	
BUTANAL-DEHYDROGENASE-RXN	EC-1.2.1.57
RXN-10687	EC-2.3.1
TRANS-RXN-207	
RXN-9726	EC-1.3.1.M16
RXN-4602	EC-1.14.14.40
RXN-17741	EC-3.1.4.39
RXN-15329	EC-2.3.1
RXN-15946	EC-4.2.3.153
TRYPTOPHAN-5-MONOOXYGENASE-RXN	EC-1.14.16.4
RXN-13635	EC-1.14.11.45
RXN-20589	
3.1.6.13-RXN	EC-3.1.6.13
RXN-18220	
RXN0-5180	EC-2.5.1
PYROXALTRANSAM-RXN	EC-2.6.1.31
RXN-18774	EC-2.4.1.371
TRANS-RXN-204	
RXN-16415	EC-6.2.1.M30
RXN-17738	EC-3.1.4.3
RXN-19198	
RXN-15326	EC-2.4.2.51
RXN-11151	EC-1.1.1.365
TRYPSYN-RXN	EC-4.2.1.20
DHLAXANAU-RXN	EC-3.8.1.5
RXN-20586	
RXN-7601	EC-2.1.1.160
RXN-18217	EC-3.2.1.147
RXN-14083	EC-1.14.14.162
PYRITHIAMIN-DEAMINASE-RXN	EC-3.5.4.20
RXN-11621	EC-1.14.14.127
RXN-9061	
3.4.24.48-RXN	EC-3.4.24.48
RXN-21055	EC-3.2.1.21
1.14.99.21-RXN	EC-1.14.99.21
